Character Name,Quote
"Harry Potter","It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends."
"Yoda","Do, or do not. There is no try."
"Hannibal Lecter","I do wish we could chat longer, but I'm having an old friend for dinner."
"Spider-Man","With great power comes great responsibility."
"Albus Dumbledore","Happiness can be found, even in the darkest of times, if one only remembers to turn on the light."
"Tony Stark","I am Iron Man."
"Frodo Baggins","I wish the Ring had never come to me. I wish none of this had happened."
"Daenerys Targaryen","I am the blood of the dragon."
"James Bond","The name's Bond, James Bond."
"Atticus Finch","You never really understand a person until you consider things from his point of view."
